Spanish,English
parte,part
historia,history
buscar,search
solo,only
policía,police
pensamiento,thought
ayuda,help
pedido,request
amable,kind
mes,month
hermano,brother
dejar,let
porque,because
poner,to put
No,no
correa,leash
ellos,them
ciudad,city
cada,each
hablar,speak
venir,come
debería,should
bebé,baby
mucho tiempo,long time
horas,hours
voluntad,will
mientras,while
cualquier,any
cuadrado,square
comprendido,understood
sabía,knew
eran,were
Advertencia,Warning
aquí está,here is
podría,could
caso,case
dar,give
tipo,type
su,their
dado,given
tren,train
cuerpo,body
lugar,place
ojos,eyes
forma,way
escuchar,listen
cuyo,whose
encontrar,find
primero,first
perdido,lost
mano,hand
lado,side
fuerza,power
viejo,old
ser,be
aquí,here
mañana,morning
mucho,so much
niño,child
punto,point
vino,came
después,after
Lo siento,sorry
delante de,in front of
hacia,towards
minutos,minutes
dormitorio,bedroom
metido,placed
hermoso,beautiful
ley,law
me gustaría,would like to
hoy,today
marido,husband
causa,cause
finalmente,finally
esperanza,hope
agua,water
Esperar,Wait
izquierda,left
nuevo,new
trabajo,job
Detener,Stop
diría,would say
Tierra,Earth
cuenta,account
lejos,far
fin,end
creer,believe
cariño,sweetheart
grande,large
bastante,rather
tendrá,will have
chicas,girls
jugar,to play
oficina,office